antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"Wireless Gaming Mouse, Premium Standing Desk, Mechanical RGB Keyboard, Ergonomic Mesh Chair",Dual Monitor Arm,0.043493803622497614,0.2165157292659676,0.04075309818875119,0.936986301369863,4.327566891081943,1.0,0.03133600557887534,12.433554731213999,0.8038873917487543,0.18586956521739129,0.9195724777332153,0.5626043229469018
"Extended Mousepad, Mechanical RGB Keyboard, Ergonomic Mesh Chair, Wireless Gaming Mouse, Premium Standing Desk",Dual Monitor Arm,0.03956148713060057,0.2165157292659676,0.03705910390848427,0.9367469879518072,4.32646159762882,1.0,0.028493419671556094,12.386513232557082,0.8005345758898296,0.1692056583242655,0.9192670300975766,0.5539541213837187
"Wireless Gaming Mouse, Extended Mousepad, Mechanical RGB Keyboard, Ergonomic Mesh Chair",Dual Monitor Arm,0.04325548141086749,0.2165157292659676,0.04051477597712107,0.9366391184573003,4.325963391355897,1.0,0.031149283874696586,12.365425664193646,0.8035976203907892,0.1847826086956522,0.9191293508887702,0.5618803737580943
"Extended Mousepad, Premium Standing Desk, Mechanical RGB Keyboard, Wireless Gaming Mouse",Dual Monitor Arm,0.04361296472831268,0.2165157292659676,0.04063393708293613,0.9316939890710383,4.303123806430464,1.0,0.03119104421933459,11.47020972354624,0.8026151079373268,0.18512486427795874,0.9128176359367534,0.5596829879312264
"Extended Mousepad, Premium Standing Desk, Mechanical RGB Keyboard, Ergonomic Mesh Chair",Dual Monitor Arm,0.045042897998093426,0.2165157292659676,0.04194470924690181,0.931216931216931,4.300920466027785,1.0,0.03219221333859202,11.39065593605629,0.8036922601356716,0.19099294628323382,0.9122087432353589,0.5624714265330665
"Extended Mousepad, Premium Standing Desk, Ergonomic Mesh Chair, Wireless Gaming Mouse",Dual Monitor Arm,0.043493803622497614,0.2165157292659676,0.040276453765490945,0.926027397260274,4.276952073642388,1.0,0.030859361155615092,10.591546622886005,0.8010284078218263,0.18329718004338394,0.9055850825563833,0.5560241554270551
"Dual Monitor Arm, Extended Mousepad, Premium Standing Desk, Ergonomic Mesh Chair",Mechanical RGB Keyboard,0.045400381315538606,0.2851525262154433,0.04194470924690181,0.9238845144356955,3.2399660865626227,1.0,0.028998675823631564,9.391616810755727,0.7242353553636477,0.14533443435177537,0.8935220612009263,0.535490105107526
"Wireless Gaming Mouse, Mechanical RGB Keyboard, Ergonomic Mesh Chair",Dual Monitor Arm,0.04837940896091516,0.2165157292659676,0.04468541468064824,0.9236453201970444,4.265950207536377,1.0,0.03421051166801921,10.261116578000559,0.804507220970031,0.20292207792207792,0.9025447189495964,0.5650147349471738
"Premium Standing Desk, Mechanical RGB Keyboard, Ergonomic Mesh Chair",Dual Monitor Arm,0.05040514775977121,0.2165157292659676,0.046472831267874166,0.9219858156028369,4.258285616146949,1.0,0.03555932394190845,10.042843833954414,0.8057791248781335,0.2108108108108108,0.9004266105762748,0.5683126656440162
"Dual Monitor Arm, Extended Mousepad, Premium Standing Desk, Wireless Gaming Mouse",Mechanical RGB Keyboard,0.04408960915157293,0.2851525262154433,0.04063393708293613,0.9216216216216216,3.2320303588168193,1.0,0.028061673653513586,9.12046776897538,0.722449480936223,0.1407927332782824,0.8903565008582511,0.5320602884539366
"Premium Standing Desk, Ergonomic Mesh Chair, Wireless Gaming Mouse",Dual Monitor Arm,0.048260247855100094,0.2165157292659676,0.04444709246901811,0.9209876543209876,4.253675506363086,1.0,0.033997989710114765,9.915972801477592,0.8036957509035292,0.20173066522444563,0.899152607613951,0.5631355442766193
"Extended Mousepad, Ergonomic Mesh Chair, Wireless Gaming Mouse, Premium Standing Desk, Dual Monitor Arm",Mechanical RGB Keyboard,0.040276453765490945,0.2851525262154433,0.03705910390848427,0.9201183431952662,3.226758519053353,1.0,0.025574171370255024,8.948831338488146,0.7190523452228007,0.12851239669421488,0.8882535649432696,0.5250403667501613
"Premium Standing Desk, Mechanical RGB Keyboard, Wireless Gaming Mouse",Dual Monitor Arm,0.04921353670162059,0.2165157292659676,0.04528122020972355,0.9200968523002422,4.249561246287084,1.0,0.034625715421014704,9.805424357974411,0.8042621750516157,0.20540540540540544,0.8980156326241266,0.5646163953300881
"Dual Monitor Arm, Premium Standing Desk, Ergonomic Mesh Chair, Wireless Gaming Mouse",Mechanical RGB Keyboard,0.04444709246901811,0.2851525262154433,0.04075309818875119,0.9168900804289545,3.2154373401419916,1.0,0.02807889748827927,8.60122928134322,0.7210488394157443,0.14108910891089105,0.8837375487514229,0.5299034606072897
"Dual Monitor Arm, Extended Mousepad, Mechanical RGB Keyboard, Ergonomic Mesh Chair",Premium Standing Desk,0.04575786463298379,0.21091515729265967,0.04194470924690181,0.9166666666666666,4.3461393596986815,1.0,0.032293682030459805,9.46901811248808,0.8068295341022615,0.19533851276359598,0.8943924292761501,0.5577683615819209
"Extended Mousepad, Mechanical RGB Keyboard, Ergonomic Mesh Chair",Dual Monitor Arm,0.049928503336510964,0.2165157292659676,0.04575786463298379,0.9164677804295942,4.232800007355616,1.0,0.03494755832192083,9.379425983930265,0.8038866199464861,0.2073434125269978,0.8933836674319626,0.5639025748598163
"Dual Monitor Arm, Extended Mousepad, Ergonomic Mesh Chair, Wireless Gaming Mouse",Mechanical RGB Keyboard,0.04420877025738799,0.2851525262154433,0.04051477597712107,0.9164420485175202,3.2138661392223273,1.0,0.027908533457348728,8.555110089486146,0.7207099745520948,0.14026402640264024,0.8831107969926704,0.5292615591521993
"Extended Mousepad, Ergonomic Mesh Chair, Wireless Gaming Mouse",Dual Monitor Arm,0.048260247855100094,0.2165157292659676,0.04420877025738799,0.9160493827160494,4.230867594800818,1.0,0.03375966749848464,9.332680283743624,0.8023641517195902,0.20043219881145324,0.892849645589823,0.5601160507416241
"Extended Mousepad, Premium Standing Desk, Wireless Gaming Mouse",Dual Monitor Arm,0.048141086749285036,0.2165157292659676,0.04408960915157293,0.9158415841584159,4.229907855947951,1.0,0.03366630664639527,9.309636628722036,0.8022073651017066,0.19989195029713666,0.892584421940293,0.5597369725965442
"Dual Monitor Arm, Premium Standing Desk, Wireless Gaming Mouse",Mechanical RGB Keyboard,0.04945185891325071,0.2851525262154433,0.04528122020972355,0.9156626506024097,3.2111328724845056,1.0,0.031179897714560423,8.476048617731179,0.7244066823697077,0.15650741350906094,0.8820204973921357,0.5372295701821075
"Extended Mousepad, Mechanical RGB Keyboard, Ergonomic Mesh Chair, Wireless Gaming Mouse, Dual Monitor Arm",Premium Standing Desk,0.04051477597712107,0.21091515729265967,0.03705910390848427,0.9147058823529411,4.336842804918578,1.0,0.02851392356059291,9.251339535189505,0.8019065783021293,0.17287381878821567,0.8919075452591184,0.5452060485211033
"Wireless Gaming Mouse, Extended Mousepad, Mechanical RGB Keyboard, Ergonomic Mesh Chair",Premium Standing Desk,0.04325548141086749,0.21091515729265967,0.03956148713060057,0.9146005509641874,4.336343403215515,1.0,0.03043825046505774,9.23992896460531,0.8041759765428634,0.1843420322043309,0.8917740597540713,0.5510855862165569
"Extended Mousepad, Premium Standing Desk, Ergonomic Mesh Chair",Dual Monitor Arm,0.04969018112488084,0.2165157292659676,0.045400381315538606,0.9136690647482013,4.219873853256415,1.0,0.03464167551192701,9.075359469335861,0.8029235060350999,0.20561252023745274,0.8898115272040921,0.5616776804203307
"Dual Monitor Arm, Extended Mousepad, Premium Standing Desk, Wireless Gaming Mouse",Ergonomic Mesh Chair,0.04408960915157293,0.1578884652049571,0.040276453765490945,0.9135135135135135,5.785815400305966,1.0,0.033315213045062665,9.736914621067683,0.8653149106230056,0.2490788504053058,0.8972980621770773,0.5843039265680775
"Dual Monitor Arm, Extended Mousepad, Premium Standing Desk",Mechanical RGB Keyboard,0.05064346997140134,0.2851525262154433,0.046234509056244044,0.9129411764705883,3.2015889481576165,1.0,0.03179339565758301,8.211085847525316,0.7243380879116045,0.1596707818930041,0.8782134277281508,0.5375403751136895
